drug,country,analysis
Ritalin,United Kingdom,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Valid prescription from a licensed healthcare provider is required to obtain Ritalin.', 'regulations': 'Controlled Drugs regulations allow travel with up to 3 months supply and does not exceed 900mgs; a license is needed if staying abroad for a month or more.'}"
Ritalin,United States,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required to obtain Ritalin.', 'regulations': 'Ritalin is classified as a Schedule II controlled substance under the Controlled Substances Act, indicating a high potential for abuse and strict regulatory controls.'}"
Concerta,Australia,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A GP will not usually be granted an authority to prescribe schedule 8 stimulants without the explicit written support of a relevant specialist medical practitioner.', 'regulations': 'The Secretary of the Department of Health has specified that a Schedule 8 poison may be prescribed, administered or supplied without first obtaining a permit under certain conditions.'}"
Concerta,Austria,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription is required, which must contain specific elements as per Commission Implementing Directive 2012/52/EU. Prescriptions generally lose validity twelve months after issuance unless stated otherwise by the doctor.', 'regulations': 'Medicinal products can be prescribed by both public health service and private prescriptions, with specific rules for prescriptions issued in other EU/EEA Member States.'}"
Concerta,Belgium,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required.', 'regulations': 'CONCERTA is classified as a prescription medicinal product due to its high potential for abuse and misuse, and it can only be obtained through authorized pharmacies.'}"
Concerta,Canada,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required.', 'regulations': 'Health Canada has not authorized an indication for children under six years of age and for geriatric use due to lack of data.'}"
Concerta,Chile,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription from a licensed healthcare professional is required to obtain Concerta.', 'regulations': 'Concerta is regulated due to its potential for abuse and dependency. It is subject to specific guidelines regarding its prescription and dispensation.'}"
Concerta,Colombia,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required for obtaining Concerta.', 'regulations': 'Regulated under the Resolution N.1478 of 2006, Article 83, issued by the Ministerio de Salud y Protección Social de Colombia, which governs narcotic and psychotropic substances.'}"
Concerta,Costa Rica,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.EASILY_AVAILABLE: 'easily available'>, 'prescription_requirements': 'A prescription from a licensed healthcare professional is required to obtain Concerta in Costa Rica. It is advisable to carry a copy of the prescription or a translation.', 'regulations': ""Concerta can be brought into Costa Rica in reasonable quantities, provided it is in original prescription bottles with the traveler's name. A note from a doctor may also be beneficial.""}"
Concerta,Czech Republic,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed medical professional is required.', 'regulations': 'Concerta is subject to strict regulations under the Medicinal Products Act No. 378/2007 Coll. and is affected by the recent amendments regarding the supply and distribution of pharmaceuticals.'}"
Concerta,Denmark,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Documentation for your condition from your home doctor and information about the specific type of medication you take.', 'regulations': 'Concerta can be abused or lead to dependence; it must be kept in a safe place to prevent misuse and abuse. Importing of Concerta for personal use is allowed if it is not a prescription-only product in the country it was bought.'}"
Concerta,Estonia,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Prescription required due to its classification as a narcotic drug.', 'regulations': 'Routine risk minimization measures are in place to help minimize the risks associated with the use of Concerta.'}"
Concerta,Finland,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Valid for 60 days; prescriptions for continuous medication valid for 180 days; narcotics prescriptions cannot be dispensed in Finland.', 'regulations': 'Can be bought with a foreign prescription at any pharmacy in Finland; electronic prescriptions are processed through national contact points.'}"
Concerta,France,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Prescription is limited to 28 days, and initial annual hospital prescription is reserved for specialists and/or specialized departments in neurology, psychiatry, or pediatrics.', 'regulations': 'Methylphenidate is included in the list of narcotics, and prescriptions must comply with specific guidelines for safe use.'}"
Concerta,Germany,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription from a licensed medical professional is required to obtain Concerta.', 'regulations': 'Concerta is governed by the German Medicinal Products Act (Arzneimittelgesetz - AMG) and is subject to specific regulations regarding its prescription and monitoring.'}"
Concerta,Greece,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': ""A valid doctor's prescription is required to obtain Concerta in Greece."", 'regulations': 'Concerta is regulated due to its active ingredient, methylphenidate, which is a controlled substance. It is important to keep the medication in its original container with the prescription label.'}"
Concerta,Hungary,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': ""Official certificate issued by the competent authority in the country of origin is required, along with a doctor's prescription."", 'regulations': ""Controlled substance regulations apply; the quantity for 3 to maximum 90 days of treatment can only be carried with an official certificate from the patient's GP.""}"
Concerta,Iceland,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required to obtain Concerta.', 'regulations': 'The Directorate of Health monitors prescriptions and promotes the reasonable use of medicinal products, with specific guidelines on the diagnosis and treatment of ADHD.'}"
Concerta,Ireland,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A medical prescription from a registered health professional in Ireland is required.', 'regulations': 'Product subject to medical prescription which may not be renewed.'}"
Concerta,Israel,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider in Israel is required to obtain Concerta.', 'regulations': 'Concerta is regulated under strict guidelines for the treatment of ADHD and is subject to monitoring due to its potential for abuse.'}"
Concerta,Italy,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': ""Methylphenidate is only prescribed for ADHD and narcolepsy after careful assessment of the patient's symptoms. It is not indicated for all ADHD patients, and a detailed evaluation is required if the patient was not treated in childhood but presents significant functional impairments due to ADHD symptoms."", 'regulations': 'Medicinal products containing methylphenidate are classified as psychotropic substances under Italian law. Prescriptions from other EU countries are not recognized in Italy for products requiring special medical prescription. International travelers must carry documentation proving lawful acquisition.'}"
Concerta,Japan,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Import certificate required to bring into Japan; prescription from a Japanese practitioner needed for treatment.', 'regulations': 'All medications containing stimulants are prohibited unless an import certificate is obtained; ADHD medications must be prescribed by a licensed Japanese practitioner.'}"
Concerta,Korea,"{'legal_status': <LegalStatus.LEGAL: 'legal'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription and medical certificate are required, signed by a doctor.', 'regulations': 'Methylphenidate products are legal in Korea but may be subject to customs checks; carrying amphetamines without proper documentation can lead to denial of entry.'}"
Concerta,Latvia,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.NOT_AVAILABLE: 'not available'>, 'prescription_requirements': 'Certificate for the use of narcotic or psychotropic substances for medical purposes issued by a physician and approved by the Health Inspectorate.', 'regulations': 'Export ban mechanism to ensure availability of essential medicinal products; specific rules for carrying medicinal products containing substances in Schedules II and III.'}"
Concerta,Lithuania,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Prescriptions can be issued by doctors and, in some cases, by nurses in general practice and community settings.', 'regulations': 'Concerta is regulated in accordance with EU guidelines, with specific recommendations for prescribing and ongoing monitoring to ensure safe use.'}"
Concerta,Luxembourg,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Product subject to medical prescription which may not be renewed (A)', 'regulations': 'New recommendations on prescribing medicines and pre-treatment screening and ongoing monitoring of patients are needed to maximize safe use; treatment with methylphenidate is not indicated for all patients with ADHD and requires careful assessment of symptoms.'}"
Concerta,Mexico,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription from a licensed healthcare provider is required to purchase Concerta in Mexico.', 'regulations': 'Concerta is regulated under Mexican law, and there are strict controls on its sale and distribution due to its classification as a controlled substance.'}"
Concerta,Netherlands,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': ""A doctor's prescription is required to obtain Concerta in the Netherlands."", 'regulations': 'Concerta is subject to the Opium Act; a certificate is needed for travel with this medication outside the Netherlands.'}"
Concerta,New Zealand,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': ""Prescriptions are required for up to three months' supply when using the electronic prescription service."", 'regulations': 'Concerta is a controlled drug that can be abused or lead to dependence, and it is subject to Special Authorities and ministerial approvals for supply and prescribing.'}"
Concerta,Norway,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required.', 'regulations': 'Concerta is regulated as a controlled substance due to its potential for abuse and dependency.'}"
Concerta,Poland,"{'legal_status': <LegalStatus.LEGAL: 'legal'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required.', 'regulations': 'The importation of Concerta is controlled and must comply with Polish regulations; it cannot be brought in without proper documentation.'}"
Concerta,Portugal,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Valid prescription from a licensed healthcare provider', 'regulations': 'Methylphenidate is regulated as a controlled substance and is subject to strict prescription guidelines; it may not be available in all EU countries under the same name or formulation.'}"
Concerta,Slovak Republic,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': ""A valid doctor's prescription is required to obtain Concerta in Slovakia."", 'regulations': 'Concerta is subject to strict regulations under Slovak law, which includes necessary approval for pricing and reimbursement by health insurance companies.'}"
Concerta,Slovenia,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A physician may prescribe Concerta to any insured person, and it must be listed in the positive or intermediate list of the Health Insurance Institute of Slovenia (ZZZS). The insured person can collect the medication from any pharmacy with a special prescription and should carry a health care identification card.', 'regulations': ""Concerta is approved for circulation in Slovenia and can only be prescribed for ADHD in adolescents aged 13 to 18, based on a careful assessment of the patient's symptoms.""}"
Concerta,Spain,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required to obtain Concerta in Spain.', 'regulations': 'Concerta is subject to special regulations due to its potential for abuse and is classified under controlled substances in Spain.'}"
Concerta,Sweden,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': ""A doctor's medical certificate or prescription is required to bring Concerta into Sweden."", 'regulations': ""Any preparation classed as a medicine in Sweden is subject to Swedish law, governed by the Swedish Medical Products Agency's rules.""}"
Concerta,Switzerland,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required.', 'regulations': 'Methylphenidate-containing medicines, including Concerta, are subject to strict regulations, including the need for a certificate when traveling with narcotics within Schengen countries.'}"
Concerta,Turkey,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Medical certificate confirming that the medicine has been prescribed for a medical condition.', 'regulations': 'Use or possession of some common prescription and over-the-counter medicines is controlled in Turkey.'}"
Concerta,United Kingdom,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required.', 'regulations': 'Methylphenidate, including Concerta, is controlled under UK law due to its potential for abuse and dependence.'}"
Concerta,United States,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required to obtain Concerta.', 'regulations': 'Concerta is classified as a Schedule II controlled substance in the United States due to its potential for abuse and dependence.'}"
Vyvanse,Australia,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': ""A valid prescription in the patient's name is required to obtain Vyvanse."", 'regulations': 'Vyvanse is regulated under national law, and its availability is subject to shortages and manufacturing limits.'}"
Vyvanse,Austria,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A letter from your doctor including personal information and the reason for the prescription is required.', 'regulations': 'For stays in Austria of up to five days, no additional certification is required for prescription medications. However, for addictive drugs available only by prescription, a letter from a doctor is necessary.'}"
Vyvanse,Belgium,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid medical prescription or a certificate validated by public authorities, such as the Schengen declaration.', 'regulations': 'Vyvanse is classified as a controlled substance in Belgium, and it requires a prescription for use. It must be justified through a valid medical prescription when traveling with it.'}"
Vyvanse,Canada,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required.', 'regulations': 'Vyvanse is authorized by Health Canada for the treatment of ADHD, and is subject to regulations regarding its prescription and distribution.'}"
Vyvanse,Chile,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Valid prescription from a licensed healthcare provider is required.', 'regulations': 'All amphetamine is illegal without a doctor prescription; medications must be in quantities appropriate to patient needs and time of stay, free of any tax charge with respective medical prescription for treatment.'}"
Vyvanse,Colombia,"{'legal_status': <LegalStatus.LEGAL: 'legal'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Prescription is required, with no refills allowed; each prescription requires a new order from a healthcare provider.', 'regulations': 'Vyvanse is under tight control, sold only in licensed pharmacies for mental health conditions; pharmacies must maintain detailed records of prescriptions filled.'}"
Vyvanse,Costa Rica,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.EASILY_AVAILABLE: 'easily available'>, 'prescription_requirements': 'A prescription from a licensed healthcare professional is required to obtain Vyvanse in Costa Rica.', 'regulations': 'Pharmacies in Costa Rica are the primary outlets for purchasing prescription medications, and pharmacists can recommend treatments based on symptoms.'}"
Vyvanse,Czech Republic,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': ""A prescription is required due to its classification as a controlled substance, which is regulated under the EU's Opium Act."", 'regulations': ""Vyvanse is considered a 'controlled substance' and is subject to strict regulations regarding its importation and use, particularly for travelers from outside the EU.""}"
Vyvanse,Denmark,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Documentation for your condition from your home doctor and information about the specific type of medication you take.', 'regulations': 'In Denmark, you can only import medicines for personal use; Vyvanse is a prescription-only product.'}"
Vyvanse,Estonia,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Must meet with a qualified healthcare provider who can prescribe controlled substances; thorough evaluation for ADHD or binge eating disorder required.', 'regulations': 'Subject to special regulations for controlled substances; access may be impacted by state laws.'}"
Vyvanse,Finland,"{'legal_status': <LegalStatus.LEGAL: 'legal'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'You can buy prescription medicines in Finland with either a paper prescription or European ePrescription. You can use your foreign prescription to buy medicine in Finland.', 'regulations': 'You can only bring medicinal products to Finland from abroad for personal use. Restrictions are based on the Government Decree on importing medicinal products to Finland for personal use (1088/2002).'}"
Vyvanse,France,"{'legal_status': <LegalStatus.ILLEGAL: 'illegal'>, 'availability': <Availability.NOT_AVAILABLE: 'not available'>, 'prescription_requirements': 'A prescription from a psychiatrist is required; however, standard health insurance does not cover psychiatry.', 'regulations': 'Vyvanse is not recognized for adult ADD/ADHD in France and is classified as a controlled substance.'}"
Vyvanse,Germany,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription from a physician is required.', 'regulations': 'Vyvanse (Elvanse) is considered a controlled substance and is prescribed for a maximum of 30 days in Germany.'}"
Vyvanse,Greece,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': ""A doctor's prescription mentioning your details, the types of medicine, and the condition treated is required."", 'regulations': 'Vyvanse is classified as a controlled substance in Greece, similar to other countries. It is important to verify the legality of your medication before traveling.'}"
Vyvanse,Hungary,"{'legal_status': <LegalStatus.UNKNOWN: 'unknown'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'An official certificate issued by the competent authority in the country of origin is required for carrying narcotic drugs required for treatment into Hungary for 3 to maximum 90 days, and for psychotropic substances required for 30 to maximum 90 days.', 'regulations': 'Under the provisions of 43/2005 (X.15.) Decree of the Minister of Health, the Department of Narcotic Drugs Control only deals with the attestation of certificates issued by the patient’s GP for travelers from Hungary.'}"
Vyvanse,Iceland,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': ""A physician's certificate, a prescription or other written declaration, together with instructions for use, is required to prove that the medicinal products have been acquired by legitimate means and are necessary."", 'regulations': 'Vyvanse is considered a controlled substance in Iceland and requires proper documentation for importation.'}"
Vyvanse,Ireland,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Prescription required from a licensed healthcare provider', 'regulations': 'Vyvanse is classified as a controlled substance and is considered a Class B drug in the UK. It is also subject to prescription regulations in other European countries.'}"
Vyvanse,Israel,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed physician is required to obtain Vyvanse in Israel.', 'regulations': 'Vyvanse is classified as a controlled substance in Israel, and there may be restrictions on its importation and use.'}"
Vyvanse,Italy,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare professional in Italy is required.', 'regulations': 'Vyvanse is classified as a controlled substance in Italy, and therefore, strict regulations apply to its prescription and distribution.'}"
Vyvanse,Japan,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed medical professional in Japan is required to acquire Vyvanse legally.', 'regulations': 'Vyvanse is strictly regulated in Japan, and you must apply for permission to bring it into the country, along with proper documentation. Possession without a prescription can lead to severe legal consequences.'}"
Vyvanse,Korea,"{'legal_status': <LegalStatus.ILLEGAL: 'illegal'>, 'availability': <Availability.NOT_AVAILABLE: 'not available'>, 'prescription_requirements': 'Prescription is required but cannot be filled since Vyvanse is not available in Korea.', 'regulations': 'Vyvanse falls under strict narcotics laws in Korea and is not permitted for entry or use, even with a prescription.'}"
Vyvanse,Latvia,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A certificate for the use of narcotic or psychotropic substances for medical purposes issued by a physician and approved by the Health Inspectorate.', 'regulations': 'Vyvanse is classified as a controlled substance in Latvia, and prescriptions can only be issued for personal medical use. There are specific requirements for carrying it into and out of the country.'}"
Vyvanse,Lithuania,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Vyvanse can only be obtained with a prescription from a healthcare provider after a thorough medical evaluation for conditions like ADHD or binge eating disorder. Each prescription requires a new order from the healthcare provider, and pharmacies must maintain detailed records of all prescriptions filled.', 'regulations': 'Vyvanse is classified as a Schedule II substance in Lithuania, subject to stricter prescribing protocols and enhanced record-keeping requirements. It can be purchased in Poland with a Lithuanian prescription.'}"
Vyvanse,Luxembourg,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A thorough medical evaluation and diagnosis of conditions like ADHD or binge eating disorder is required before prescribing Vyvanse.', 'regulations': ""Vyvanse is subject to strict regulations, including assessments for cardiac conditions and history of tics or Tourette's syndrome before treatment.""}"
Vyvanse,Mexico,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.NOT_AVAILABLE: 'not available'>, 'prescription_requirements': 'A valid prescription from a Mexican doctor is required; foreign prescriptions are not accepted.', 'regulations': 'Vyvanse is classified as a controlled substance and is subject to strict regulations by Mexican authorities. It has been unavailable in Mexico for the last two years.'}"
Vyvanse,Netherlands,"{'legal_status': <LegalStatus.UNKNOWN: 'unknown'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Proof of prescription/letter from doctor/medication passport is suggested but not legally required.', 'regulations': 'Lisdexamfetamine (Vyvanse) is not on the list of controlled drugs in the Netherlands, but it is advisable to carry documentation that proves the medication is for personal use.'}"
Vyvanse,New Zealand,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Requires a prescription from a New Zealand registered doctor', 'regulations': 'Amphetamines have a high potential for drug abuse. Care should be exercised in the selection of patients for amphetamine therapy and prescription size should be limited to that required.'}"
Vyvanse,Norway,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription is required, and you must bring a copy of your medical journal to obtain it.', 'regulations': 'Vyvanse is classified as a controlled substance in Norway. You may bring a three-month supply for personal use, but you must prove it is for personal use with a prescription, medical certificate, or pharmacy label.'}"
Vyvanse,Poland,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription from a qualified healthcare professional is required to obtain Vyvanse in Poland.', 'regulations': 'Vyvanse is classified as a controlled substance and is subject to strict regulations for distribution and use.'}"
Vyvanse,Portugal,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': ""Must have a doctor's note and be followed by a psychiatrist for prescription."", 'regulations': 'Vyvanse is classified as a controlled substance in Portugal and requires a prescription from a doctor.'}"
Vyvanse,Slovak Republic,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription from a Slovak doctor is required for Vyvanse.', 'regulations': 'Vyvanse is classified as a controlled substance in Slovakia, and you cannot bring it into the country without a prescription. It is not allowed to bring medication that contains controlled substances into Slovakia.'}"
Vyvanse,Slovenia,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.EASILY_AVAILABLE: 'easily available'>, 'prescription_requirements': 'A valid prescription from a licensed physician is required.', 'regulations': 'Vyvanse is classified as a controlled substance (Schedule II) due to its potential for abuse and dependence.'}"
Vyvanse,Spain,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required.', 'regulations': 'Vyvanse is classified as a controlled substance in Spain and can only be obtained with a prescription.'}"
Vyvanse,Sweden,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Valid prescription from a licensed healthcare provider after thorough assessment by a psychiatrist or ADHD specialist.', 'regulations': 'Illegal to buy, sell, or distribute without a prescription; must be stored securely and not shared.'}"
Vyvanse,Switzerland,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A thorough medical evaluation by a healthcare provider is required to diagnose conditions like ADHD or binge eating disorder before a prescription can be obtained.', 'regulations': 'Individuals travelling with Vyvanse must carry the original prescription and a certificate for narcotics if required. Only a 30-day supply of narcotic-containing medications can be imported into Switzerland.'}"
Vyvanse,Turkey,"{'legal_status': <LegalStatus.ILLEGAL: 'illegal'>, 'availability': <Availability.NOT_AVAILABLE: 'not available'>, 'prescription_requirements': ""A doctor's prescription for methylphenidate (Concerta/Ritalin) is necessary; however, obtaining this may be challenging for adults over 25."", 'regulations': 'Vyvanse is not banned, but there are significant restrictions in Turkey; ADHD is often not recognized beyond the age of 25.'}"
Vyvanse,United Kingdom,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required to obtain Vyvanse in the UK.', 'regulations': 'Vyvanse is classified as a Class B controlled substance in the UK, meaning it is subject to strict regulations regarding its prescription and use.'}"
